Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
home-decor-example-product-4,Example product,,home-decor,,"",Sample Product,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/home-decor-products-4.jpg?v=1772346412,1,"",false,,,,kg,,,active
home-decor-example-product-3,Example product,,home-decor,,"",Sample Product,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/home-decor-products-3.jpg?v=1772346410,1,"",false,,,,kg,,,active
home-decor-example-product-2,Example product,,home-decor,,"",Sample Product,true,Title,Default Title,,,,,,,,,0.0,shopify,3,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/home-decor-products-2.jpg?v=1772346409,1,"",false,,,,kg,,,active
home-decor-example-product-1,Example product,,home-decor,,"",Sample Product,true,Title,Default Title,,,,,,,,,0.0,shopify,4,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/home-decor-products-1.jpg?v=1772346407,1,"",false,,,,kg,,,active
handcrafted-brass-18-multicolor-aftaba,"Handcrafted Brass 18"" Multicolor Aftaba","<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p data-mce-fragment=""1"">This is a beautifully handcrafted brass 18"" gold aftaba. It is made from high quality brass with a stunning gold finish. The hand crafting is evident in the intricate detail and workmanship. This is a beautiful traditional design that would make an eye catching addition to any home.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Crafted From Brass</li>
<li data-mce-fragment=""1"">Multicolor Finish</li>
<li data-mce-fragment=""1"">Floral Design</li>
<li data-mce-fragment=""1"">Beautiful Traditional Design</li>
<li data-mce-fragment=""1"">Masterpiece Eye Catching Styling</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dimensions:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">16""Dia x 18""H</li>
</ul>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span style=""text-decoration: underline;""><strong>Note: Product color may slightly vary due to photographic lighting sources or your screen settings</strong></span></p>",hometrends,,Vases,"",false,Title,Default Title,,,,,,,,AHC-00098,0.0,,0,deny,manual,7989.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-18-multicolor-aftaba-vases-228.webp?v=1772345891,1,"",false,,,,kg,,,active
handcrafted-brass-18-multicolor-aftaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-18-multicolor-aftaba-vases-580.webp?v=1772345891,2,"",,,,,,,,
handcrafted-brass-18-multicolor-aftaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-18-multicolor-aftaba-vases-496.webp?v=1772345891,3,"",,,,,,,,
handcrafted-brass-18-multicolor-aftaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-18-multicolor-aftaba-vases-316.webp?v=1772345891,4,"",,,,,,,,
handcrafted-brass-18-multicolor-aftaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-18-multicolor-aftaba-vases-245.webp?v=1772345892,5,"",,,,,,,,
handcrafted-brass-multicolor-24-vase,"Handcrafted Brass Multicolor 24"" Vase","<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">This 24"" brass vase is a contemporary and fashionable choice for any home decor. This vase has a curved body and multiple levels of small rings around the outside, which create a lovely accent. The vase is finished in a multicolor design, with an etched flower design on the bottom.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Crafted from Brass<br>
</li>
<li data-mce-fragment=""1"">Multicolor Finish</li>
<li data-mce-fragment=""1"">Hand Crafting</li>
<li data-mce-fragment=""1"">Beautiful Traditional Design</li>
<li data-mce-fragment=""1"">Masterpiece Eye Catching Styling</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dimensions:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Multicolor 24""Vase: 16.5"" Dia x 24""H</li>
</ul>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;""><strong>Note: Product color may slightly vary due to photographic lighting sources or your screen settings</strong></span></p>
<style type=""text/css""><!--
td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}
--></style>",hometrends,,Vases,"",false,Title,Default Title,,,,,,,,AHC-00091,0.0,,0,deny,manual,12855.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-522.webp?v=1772345885,1,"",false,,,,kg,,,active
handcrafted-brass-multicolor-24-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-738.webp?v=1772345885,2,"",,,,,,,,
handcrafted-brass-multicolor-24-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-950.webp?v=1772345885,3,"",,,,,,,,
handcrafted-brass-multicolor-24-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-635.webp?v=1772345886,4,"",,,,,,,,
